"","File_Name","Allreads","Uncut","Cut","Diversity.x","Indel","Cmut","CmutPam","C.T","length","active.UncutPAM.qualiy","uncut.quality","inactive.PAM.quality","cut.length","all.length","Mutationperbase","Lane","gRNA","System","Coverage","p.uncut","div","Mean_length","Diversity.y","Indels","Day.c","p.cut","p.uncut.quality","Experiment","replicate"
"1","A01_8227",27208,3508,244,19.5031982942431,0.00613006396588486,0.0437100213219616,0.00106609808102345,0.00453091684434968,24.9912046908316,240,3456,56,24.8783783783784,24.9912046908316,"0.06_0.04_0.06_0.07_0.04_0.05_0.03_0.04_0.03_0.03_0.01_0.06_0.07_0.04_0.07_0.04_0.07_0.03_0.1_0.04",8227,"g1","Cas9",3752,0.934968017057569,19.50319829,24.99120469,0.0105079793211958,0,"0",0.0523156089193825,0.921108742004264,"Cas9","Replicate1"
"2","A01_8468",2351852,12122,10739,6.29508770394996,1.38095446393421,0.281746205327851,0.0330694195354534,0.0975460391059009,24.1009142207253,8403,12088,2370,23.0920820569943,24.1009142207253,"0.05_0.1_0.13_0.11_0.14_0.1_0.09_0.14_0.08_0.1_0.2_0.15_0.2_0.16_0.15_0.22_0.26_0.13_0.34_0.13",8468,"g1","BE3",22861,0.530248020646516,6.295087704,24.10091422,0.0795908527345364,0.463273913735477,"4",0.411203859702864,0.528760771619789,"BE3","Replicate2"
"3","A02_8227",27080,1650,83,24.3571840738604,0.0300057703404501,0.050201961915753,0.00980957876514714,0.00865551067512983,29.9653779572995,78,1619,36,29.4736842105263,29.9653779572995,"0.15_0.02_0.12_0.12_0.06_0.08_0.06_0.04_0.06_0.04_0.02_0.09_0.02_0.06_0.02_0.06_0.02_0.02_0.07_0.04",8227,"g7","Cas9",1733,0.952106174264282,24.35718407,29.96537796,0.00505050505050505,0.0303030303030303,"0",0.0389305816135084,0.934218118869013,"Cas9","Replicate1"
"4","A02_8467",1672280,93,1864,-8.53244762391415,1.95145631067961,2.15891670924885,1.4368932038835,0.233520694941237,26.0996423096576,1419,92,446,25.9072386058981,26.0996423096576,"0.28_0.13_0.14_0.17_0.13_0.19_0.11_0.11_0.17_0.14_0.1_0.1_0.07_0.21_0.11_0.21_0.16_0.23_0.15_0.22",8467,"g7","BE3",1957,0.0475217169136433,-8.532447624,26.09964231,0.152820186876695,1.03128153380424,"32",0.789161727349704,0.0470107307102708,"BE3","Replicate2"
"5","A02_8468",94988,1594,7295,0.83417707278659,2.21689728878389,0.122735965800427,0.0227247159410507,0.0451119361007987,23.3698953763078,6535,1586,768,23.0156100232781,23.3698953763078,"0.01_0.01_0.04_0.02_0.04_0.02_0.02_0.05_0.05_0.04_0.1_0.07_0.15_0.15_0.19_0.21_0.32_0.18_0.42_0.14",8468,"g1","Cas9",8889,0.179322758465519,0.834177073,23.36989538,0.12374536209613,0.936594583245853,"4",0.739033532570155,0.178422769715379,"Cas9","Replicate2"
"6","A03_8467",85560,117,52,13.5325443786982,0.804733727810651,0.57396449704142,0.437869822485207,0.0769230769230769,28.585798816568,43,114,12,25.6545454545455,28.585798816568,"0.3_0.12_0.04_0.04_0.12_0.12_0.04_0.08_0.04_0.08_0.05_0.05_0_0.1_0.09_0.09_0.05_0.05_0.14_0.05",8467,"g7","Cas9",169,0.692307692307692,13.53254438,28.58579882,0.0546044864226682,0.465909090909091,"4",0.263959390862944,0.674556213017751,"Cas9","Replicate2"
"7","A03_8468",87172,688,1433,1.54644035832155,1.6034889203206,0.540782649693541,0.033003300330033,0.113154172560113,23.983026874116,1234,686,201,23.4968641114983,23.983026874116,"0.07_0.22_0.14_0.16_0.17_0.13_0.15_0.14_0.1_0.13_0.24_0.21_0.29_0.28_0.11_0.28_0.4_0.09_0.36_0.13",8468,"g1","BE3",2121,0.324375294672324,1.546440358,23.98302687,0.100898279106765,0.400267737617135,"10",0.615021459227468,0.323432343234323,"BE3","Replicate2"
"8","A04_8227",702468,2829,2377,8.05167114867461,0.999039569727238,0.409719554360353,0.019208605455244,0.127929312331925,24.6083365347676,1898,2793,515,24.1446332366349,24.6083365347676,"0.04_0.13_0.15_0.14_0.16_0.12_0.08_0.16_0.07_0.08_0.15_0.13_0.18_0.16_0.13_0.18_0.22_0.11_0.25_0.12",8227,"g1","BE3",5206,0.543411448328851,8.051671149,24.60833653,0.0705602838033555,0.200566304860783,"4",0.370595572185843,0.536496350364963,"BE3","Replicate1"
"9","A04_8468",1482164,4121,19239,-4.43480308219178,2.84541952054795,0.236001712328767,0.0357020547945206,0.0857876712328767,22.4298801369863,16119,4079,3162,21.8861573569836,22.4298801369863,"0.04_0.08_0.08_0.07_0.09_0.07_0.07_0.09_0.07_0.08_0.14_0.11_0.17_0.12_0.15_0.25_0.29_0.18_0.4_0.12",8468,"g1","Cas9",23360,0.176412671232877,-4.434803082,22.42988014,0.160427746730949,1.43061078415779,"10",0.731743496120493,0.174614726027397,"Cas9","Replicate2"
"10","A05_8227",59436,1048,87,21.1806167400881,0.215859030837004,0.219383259911894,0.0713656387665198,0.0361233480176211,29.7171806167401,53,1036,46,26.7575757575758,29.7171806167401,"0.37_0.15_0.2_0.23_0.2_0.2_0.17_0.16_0.23_0.14_0.05_0.03_0_0.23_0.02_0.2_0.14_0.12_0.13_0.17",8227,"g7","BE3",1135,0.923348017621145,21.18061674,29.71718062,0.0232780612244898,0.165178571428571,"2",0.0627253064167267,0.912775330396476,"BE3","Replicate1"
"11","A05_8467",89128,55,417,6.32415254237288,1.05932203389831,1.33898305084746,1.24152542372881,0.0360169491525424,26.9237288135593,371,52,49,26.5428571428571,26.9237288135593,"0.08_0.02_0.08_0.08_0.05_0.05_0.02_0.04_0.07_0.04_0_0.06_0.02_0.09_0.02_0.07_0.02_0.15_0.12_0.07",8467,"g7","Cas9",472,0.116525423728814,6.324152542,26.92372881,0.0853551721117632,0.61587982832618,"25",0.758181818181818,0.110169491525424,"Cas9","Replicate2"
