"","Coverage","Uncut","Cut","Diversity","Substitutions","Indel","Cmut","CmutPam","C.T","length","active.UncutPAM.qualiy","uncut.quality","inactive.PAM.quality","cut.length","all.length","Mutationperbase","System","Day","Lane","gRNA","p.cut","p.uncut","p.uncut.quality","Day.c","replicate","p.active.uncut.PAM","p.inactive.cut"
"1",6624,6408,216,0.0679284152378054,0.0360809178743961,0.0310990338164251,0.0264190821256039,0.00905797101449275,0.00483091787439614,24.9593900966184,187,6308,129,24.1487341772152,24.9593900966184,"0.09_0.06_0.07_0.1_0.05_0.02_0.08_0.03_0.05_0.06_0.06_0.06_0.08_0.06_0.02_0.1_0.1_0.11_0.08_0.14","BE3",0,8227,"g5",0.0292207792207792,0.967391304347826,0.952294685990338,0,"Replicate1",0.0282306763285024,0.0194746376811594
"2",3012,1901,1111,0.213203169829309,0.694223107569721,0.819389110225764,0.182270916334661,0.105909694555113,0.0703851261620186,24.6059096945551,866,1867,279,23.9633187772926,24.6059096945551,"0.09_0.29_0.23_0.11_0.08_0.22_0.24_0.24_0.26_0.08_0.05_0.14_0.16_0.19_0.07_0.08_0.16_0.22_0.27_0.1","Cas9",2,8227,"g3",0.29438261791203,0.631142098273572,0.619853917662683,2,"Replicate1",0.287516600265604,0.0926294820717131
"3",3327,2682,645,0.122381800271928,0.249173429516081,0.343552750225428,0.173128944995491,0.121731289449955,0.0162308385933273,24.5638713555756,550,2637,140,22.8898550724638,24.5638713555756,"0.07_0.1_0.04_0.08_0.04_0.03_0.03_0.03_0.06_0.06_0.05_0.05_0.06_0.09_0.06_0.19_0.19_0.34_0.09_0.34","BE3",2,8227,"g5",0.173340499865628,0.806131650135257,0.792605951307484,2,"Replicate1",0.165314096783889,0.0420799519086264
"4",2443,2265,178,0.00765416541988906,0.126893164142448,0.0511665984445354,0.070814572247237,0.00204666393778142,0.0102333196889071,29.9369627507163,158,2221,64,29.3063063063063,29.9369627507163,"0.04_0.09_0.02_0.09_0.1_0.04_0.09_0.12_0.09_0.12_0.06_0.06_0.1_0.04_0.08_0.11_0.06_0.17_0.07_0.03","BE3",4,8227,"g6",0.0571061918511389,0.927138763814982,0.909128121162505,4,"Replicate1",0.0646745804338928,0.0261972984036021
"5",3752,3508,244,0.0689159621514813,0.0692963752665245,0.00613006396588486,0.0437100213219616,0.00106609808102345,0.00453091684434968,24.9912046908316,240,3456,56,24.8783783783784,24.9912046908316,"0.06_0.04_0.06_0.07_0.04_0.05_0.03_0.04_0.03_0.03_0.01_0.06_0.07_0.04_0.07_0.04_0.07_0.03_0.1_0.04","Cas9",0,8227,"g1",0.0523156089193825,0.934968017057569,0.921108742004264,0,"Replicate1",0.0639658848614073,0.0149253731343284
"6",1081,619,462,0.239833265592254,0.413506012950971,1.37927844588344,0.228492136910268,0.00555041628122109,0.0490286771507863,23.895467160037,393,616,72,22.4215053763441,23.895467160037,"0.01_0.04_0.07_0.05_0.08_0.11_0.06_0.07_0.03_0.04_0.07_0.12_0.13_0.14_0.03_0.06_0.12_0.12_0.24_0.07","BE3",4,8227,"g1",0.356481481481481,0.572617946345976,0.569842738205365,4,"Replicate1",0.363552266419982,0.0666049953746531
"7",1423,1192,231,0.0484849589776586,0.374560787069571,0.224174279690794,0.26914968376669,0.174982431482783,0.0245959241040056,29.5115952213633,193,1166,64,27.295719844358,29.5115952213633,"0.12_0.06_0.09_0.09_0.09_0.06_0.07_0.09_0.11_0.08_0.01_0.1_0.04_0.09_0.04_0.09_0.04_0.08_0.04_0.06","BE3",4,8227,"g9",0.138738738738739,0.837666900913563,0.81939564300773,4,"Replicate1",0.135628952916374,0.044975404075896
"8",2031,908,1123,0.289794928597744,0.358444116198917,1.84441161989168,0.180699162973904,0.166912850812408,0.0192023633677991,23.0748399803053,1020,892,119,21.5671641791045,23.0748399803053,"0.01_0.03_0.03_0.02_0.04_0.04_0.08_0.05_0.03_0.02_0.03_0.09_0.11_0.13_0.11_0.28_0.19_0.24_0.28_0.07","BE3",4,8227,"g3",0.455948030856679,0.447070408665682,0.439192516001969,4,"Replicate1",0.502215657311669,0.0585918266863614
"9",2560,2427,133,0.0707665901377784,0.065234375,0.030078125,0.020703125,0,0.0046875,24.97734375,119,2383,58,24.6723163841808,24.97734375,"0.07_0.06_0.06_0.04_0_0.06_0.08_0.04_0.06_0.11_0.11_0.1_0.06_0.05_0.11_0.04_0.07_0.02_0.09_0.13","Cas9",0,8227,"g2",0.0419029615626969,0.948046875,0.930859375,0,"Replicate1",0.046484375,0.02265625
"10",2252,1049,1203,0.278206262689682,0.379218472468917,1.71536412078153,0.188277087033748,0.171847246891652,0.0208703374777975,23.1904973357016,1107,1028,117,21.6707516339869,23.1904973357016,"0.03_0.02_0.03_0_0.04_0.05_0.08_0.05_0.05_0.02_0.03_0.08_0.12_0.15_0.11_0.26_0.16_0.23_0.21_0.07","Cas9",4,8227,"g3",0.445225758697261,0.465808170515098,0.456483126110124,4,"Replicate1",0.491563055062167,0.0519538188277087
"11",462242,337021,125221,0.156463367915216,0.406525153491029,0.533097381890871,0.274107502130918,0.213050739655851,0.0271719142786679,24.2423903496437,107385,332024,22833,22.3104947088728,24.2423903496437,"0.07_0.11_0.07_0.1_0.04_0.05_0.08_0.05_0.07_0.06_0.09_0.05_0.1_0.14_0.1_0.25_0.23_0.43_0.16_0.45","Cas9",4,8227,"g5",0.241730982321078,0.729100774053418,0.718290419304174,4,"Replicate1",0.232313376975697,0.0493962037201293
"12",3228,3015,213,0.0732040533885002,0.115551425030979,0.0133209417596035,0.030359355638166,0.0204460966542751,0.00991325898389095,24.9919454770756,205,2959,64,24.8996282527881,24.9919454770756,"0.05_0.07_0.12_0.08_0.14_0.08_0.16_0.18_0.14_0.07_0.12_0.05_0.04_0.16_0.04_0.06_0.1_0.03_0.13_0.13","Cas9",0,8227,"g3",0.0513129366417731,0.934014869888476,0.916666666666667,0,"Replicate1",0.0635068153655514,0.0198265179677819
"13",9771,2714,7057,0.561224208404371,1.83645481526968,3.32749974414082,1.18626547948009,0.249718554907379,0.18923344591137,23.0789069696039,3616,2685,3470,22.0115721140277,23.0789069696039,"0.08_0.19_0.24_0.2_0.19_0.17_0.14_0.34_0.17_0.17_0.2_0.17_0.37_0.23_0.12_0.28_0.18_0.42_0.4_0.09","BE3",10,8227,"g4",0.585886259858863,0.277760720499437,0.274792754068161,10,"Replicate1",0.370074710879132,0.355132535052707
