"","X","File_Name","Day","Lane","gRNA","System","Coverage","p.uncut","div","Mean_length","Diversity","Indels","Replicate"
"1",1,"A01_8227",0,8227,"g1","Cas9",3752,0.934968017,19.50319829,24.99120469,0.0105079793211958,0,"Replicate1"
"2",2,"A01_8468",4,8468,"g1","BE3",22861,0.530248021,6.295087704,24.10091422,0.0795908527345364,0.463273913735477,"Replicate2"
"3",3,"A02_8227",0,8227,"g7","Cas9",1733,0.952106174,24.35718407,29.96537796,0.00505050505050505,0.0303030303030303,"Replicate1"
"4",4,"A02_8467",32,8467,"g7","BE3",1957,0.047521717,-8.532447624,26.09964231,0.152820186876695,1.03128153380424,"Replicate2"
"5",5,"A02_8468",4,8468,"g1","Cas9",8889,0.179322758,0.834177073,23.36989538,0.12374536209613,0.936594583245853,"Replicate2"
"6",6,"A03_8467",4,8467,"g7","Cas9",169,0.692307692,13.53254438,28.58579882,0.0546044864226682,0.465909090909091,"Replicate2"
"7",7,"A03_8468",10,8468,"g1","BE3",2121,0.324375295,1.546440358,23.98302687,0.100898279106765,0.400267737617135,"Replicate2"
"8",8,"A04_8227",4,8227,"g1","BE3",5206,0.543411448,8.051671149,24.60833653,0.0705602838033555,0.200566304860783,"Replicate1"
"9",9,"A04_8468",10,8468,"g1","Cas9",23360,0.176412671,-4.434803082,22.42988014,0.160427746730949,1.43061078415779,"Replicate2"
"10",10,"A05_8227",2,8227,"g7","BE3",1135,0.923348018,21.18061674,29.71718062,0.0232780612244898,0.165178571428571,"Replicate1"
"11",11,"A05_8467",25,8467,"g7","Cas9",472,0.116525424,6.324152542,26.92372881,0.0853551721117632,0.61587982832618,"Replicate2"
"12",12,"A06_8467",25,8467,"g7","BE3",623,0.030497592,-36.97110754,25.31781701,0.263507326007326,1.06521739130435,"Replicate2"
"13",13,"A06_8468",18,8468,"g1","Cas9",25172,0.09597966,-10.55001589,21.29413634,0.206104884593355,2.10162069094584,"Replicate2"
"14",14,"A07_8467",32,8467,"g1","Cas9",512,0.181640625,-13.02929688,20.34765625,0.236144703199502,2.68937875751503,"Replicate2"
"15",15,"A07_8468",4,8468,"g7","Cas9",1154,0.141247834,-15.78162912,26.20450607,0.174906162457967,0.859952793076318,"Replicate2"
